,MarketID,MarketSize,LocationID,AgeOfStore,Promotion,week,SalesInThousands
0,1,Medium,1,4,3,1,33.73
1,1,Medium,1,4,3,2,35.67
2,1,Medium,1,4,3,3,29.03
3,1,Medium,1,4,3,4,39.25
4,1,Medium,2,5,2,1,27.81
5,1,Medium,2,5,2,2,34.67
6,1,Medium,2,5,2,3,27.98
7,1,Medium,2,5,2,4,27.72
8,1,Medium,3,12,1,1,44.54
9,1,Medium,3,12,1,2,37.94
10,1,Medium,3,12,1,3,45.49
11,1,Medium,3,12,1,4,34.75
12,1,Medium,4,1,2,1,39.28
13,1,Medium,4,1,2,2,39.8
14,1,Medium,4,1,2,3,24.77
15,1,Medium,4,1,2,4,30.98
16,1,Medium,5,10,2,1,30.37
17,1,Medium,5,10,2,2,24.82
18,1,Medium,5,10,2,3,37.47
19,1,Medium,5,10,2,4,23.35
20,1,Medium,6,10,3,1,32.9
21,1,Medium,6,10,3,2,22.18
22,1,Medium,6,10,3,3,42.98
23,1,Medium,6,10,3,4,26.68
24,1,Medium,7,15,1,1,42.92
25,1,Medium,7,15,1,2,42.16
26,1,Medium,7,15,1,3,51.72
27,1,Medium,7,15,1,4,36.17
28,1,Medium,8,10,2,1,30.08
29,1,Medium,8,10,2,2,28.62
30,1,Medium,8,10,2,3,25.4
31,1,Medium,8,10,2,4,27.26
32,1,Medium,9,6,1,1,37.41
33,1,Medium,9,6,1,2,38.64
34,1,Medium,9,6,1,3,40.9
35,1,Medium,9,6,1,4,41.11
36,1,Medium,10,5,2,1,34.27
37,1,Medium,10,5,2,2,29.3
38,1,Medium,10,5,2,3,23.93
39,1,Medium,10,5,2,4,35.16
40,1,Medium,11,5,3,1,33.42
41,1,Medium,11,5,3,2,37.93
42,1,Medium,11,5,3,3,33.85
43,1,Medium,11,5,3,4,40.25
44,1,Medium,12,12,1,1,35.85
45,1,Medium,12,12,1,2,36.24
46,1,Medium,12,12,1,3,41.73
47,1,Medium,12,12,1,4,37.32
48,1,Medium,13,12,1,1,50.48
49,1,Medium,13,12,1,2,36.88
50,1,Medium,13,12,1,3,35.68
51,1,Medium,13,12,1,4,46.45
52,2,Small,101,22,1,1,67.48
53,2,Small,101,22,1,2,65.57
54,2,Small,101,22,1,3,68.42
55,2,Small,101,22,1,4,60.93
56,2,Small,102,8,3,1,61.59
57,2,Small,102,8,3,2,63.64
58,2,Small,102,8,3,3,54.68
59,2,Small,102,8,3,4,61.24
60,2,Small,103,22,3,1,62.93
61,2,Small,103,22,3,2,58.77
62,2,Small,103,22,3,3,70.6
63,2,Small,103,22,3,4,65.06
64,2,Small,104,19,3,1,59.76
65,2,Small,104,19,3,2,66.11
66,2,Small,104,19,3,3,62.16
67,2,Small,104,19,3,4,64.04
68,2,Small,105,8,3,1,59.65
69,2,Small,105,8,3,2,57.04
70,2,Small,105,8,3,3,59.73
71,2,Small,105,8,3,4,56.72
72,2,Small,106,5,3,1,58.55
73,2,Small,106,5,3,2,62.19
74,2,Small,106,5,3,3,53.14
75,2,Small,106,5,3,4,62.27
124,3,Large,213,4,2,1,73.22
137,3,Large,216,4,3,2,74.75
148,3,Large,219,7,2,1,66.22
157,3,Large,221,23,2,2,74.03
164,4,Small,301,1,2,1,49.61
165,4,Small,301,1,2,2,43.69
166,4,Small,301,1,2,3,54.49
167,4,Small,301,1,2,4,61.25
168,4,Small,302,7,3,1,51.47
169,4,Small,302,7,3,2,53.47
170,4,Small,302,7,3,3,46.83
171,4,Small,302,7,3,4,56.7
172,4,Small,303,9,1,1,55.94
173,4,Small,303,9,1,2,61.36
174,4,Small,303,9,1,3,56.19
175,4,Small,303,9,1,4,62.06
176,4,Small,304,3,1,1,54.01
177,4,Small,304,3,1,2,63.48
178,4,Small,304,3,1,3,61.96
179,4,Small,304,3,1,4,55.3
180,4,Small,305,2,2,1,47.89
181,4,Small,305,2,2,2,52.37
182,4,Small,305,2,2,3,49.11
183,4,Small,305,2,2,4,52.88
184,4,Small,306,13,1,1,53.79
185,4,Small,306,13,1,2,66.96
186,4,Small,306,13,1,3,57.1
187,4,Small,306,13,1,4,65.12
188,4,Small,307,7,2,1,46.98
189,4,Small,307,7,2,2,53.41
190,4,Small,307,7,2,3,36.17
191,4,Small,307,7,2,4,55.98
192,4,Small,308,28,2,1,51.87
193,4,Small,308,28,2,2,58.01
194,4,Small,308,28,2,3,47.93
195,4,Small,308,28,2,4,51.33
196,4,Small,309,8,1,1,62.16
197,4,Small,309,8,1,2,54.06
198,4,Small,309,8,1,3,51.72
199,4,Small,309,8,1,4,59.64
200,5,Medium,401,5,3,1,52.23
201,5,Medium,401,5,3,2,51.68
202,5,Medium,401,5,3,3,46.22
203,5,Medium,401,5,3,4,46.03
204,5,Medium,402,25,2,1,40.4
205,5,Medium,402,25,2,2,50.28
206,5,Medium,402,25,2,3,52.72
207,5,Medium,402,25,2,4,38.3
208,5,Medium,403,19,2,1,51.79
209,5,Medium,403,19,2,2,42.56
210,5,Medium,403,19,2,3,44.64
211,5,Medium,403,19,2,4,45.11
212,5,Medium,404,8,2,1,42.15
213,5,Medium,404,8,2,2,42.59
214,5,Medium,404,8,2,3,49.56
215,5,Medium,404,8,2,4,39.25
216,5,Medium,405,4,2,1,48.18
217,5,Medium,405,4,2,2,48.25
218,5,Medium,405,4,2,3,46.42
219,5,Medium,405,4,2,4,43.77
220,5,Medium,406,3,2,1,45.3
221,5,Medium,406,3,2,2,48.84
222,5,Medium,406,3,2,3,45.08
223,5,Medium,406,3,2,4,44.67
224,5,Medium,407,6,3,1,45.56
225,5,Medium,407,6,3,2,55.19
226,5,Medium,407,6,3,3,37.84
227,5,Medium,407,6,3,4,50.07
228,5,Medium,408,9,2,1,47.33
229,5,Medium,408,9,2,2,45.42
230,5,Medium,408,9,2,3,44.31
231,5,Medium,408,9,2,4,40.26
232,5,Medium,409,14,2,1,43.27
233,5,Medium,409,14,2,2,48.33
234,5,Medium,409,14,2,3,44.14
235,5,Medium,409,14,2,4,51.5
236,5,Medium,410,11,1,1,49.95
237,5,Medium,410,11,1,2,55.11
238,5,Medium,410,11,1,3,55.28
239,5,Medium,410,11,1,4,54.7
240,5,Medium,411,23,3,1,50.11
241,5,Medium,411,23,3,2,55.59
242,5,Medium,411,23,3,3,54.37
243,5,Medium,411,23,3,4,51.91
244,5,Medium,412,6,1,1,59.34
245,5,Medium,412,6,1,2,62.63
246,5,Medium,412,6,1,3,49.08
247,5,Medium,412,6,1,4,58.04
248,5,Medium,413,1,2,1,46.26
249,5,Medium,413,1,2,2,47.71
250,5,Medium,413,1,2,3,54.09
251,5,Medium,413,1,2,4,46.89
252,5,Medium,414,1,3,1,57.37
253,5,Medium,414,1,3,2,55.53
254,5,Medium,414,1,3,3,51.16
255,5,Medium,414,1,3,4,57.06
256,5,Medium,415,12,3,1,50.59
257,5,Medium,415,12,3,2,48.64
258,5,Medium,415,12,3,3,50.55
259,5,Medium,415,12,3,4,49.08
260,6,Medium,501,6,3,1,24.75
261,6,Medium,501,6,3,2,41.47
262,6,Medium,501,6,3,3,35.1
263,6,Medium,501,6,3,4,34.33
264,6,Medium,502,19,2,1,31.94
265,6,Medium,502,19,2,2,29.64
266,6,Medium,502,19,2,3,33.64
267,6,Medium,502,19,2,4,36.05
268,6,Medium,503,2,2,1,36.7
269,6,Medium,503,2,2,2,41.53
270,6,Medium,503,2,2,3,27.71
271,6,Medium,503,2,2,4,37.2
272,6,Medium,504,4,1,1,42.16
273,6,Medium,504,4,1,2,36.8
274,6,Medium,504,4,1,3,46.98
275,6,Medium,504,4,1,4,47.35
276,6,Medium,505,1,2,1,32.21
277,6,Medium,505,1,2,2,38.41
278,6,Medium,505,1,2,3,37.9
279,6,Medium,505,1,2,4,44.84
280,6,Medium,506,12,2,1,37.45
281,6,Medium,506,12,2,2,35.46
282,6,Medium,506,12,2,3,31.85
283,6,Medium,506,12,2,4,19.26
284,6,Medium,507,5,2,1,38.65
285,6,Medium,507,5,2,2,17.34
286,6,Medium,507,5,2,3,33.14
287,6,Medium,507,5,2,4,23.44
288,6,Medium,508,5,3,1,37.17
289,6,Medium,508,5,3,2,30.52
290,6,Medium,508,5,3,3,32.51
291,6,Medium,508,5,3,4,29.12
292,6,Medium,509,8,1,1,40.46
293,6,Medium,509,8,1,2,41.25
294,6,Medium,509,8,1,3,32.05
295,6,Medium,509,8,1,4,47.5
296,6,Medium,510,7,2,1,32.77
297,6,Medium,510,7,2,2,30.26
298,6,Medium,510,7,2,3,27.55
299,6,Medium,510,7,2,4,27.37
300,6,Medium,511,24,3,1,47.48
301,6,Medium,511,24,3,2,39.41
302,6,Medium,511,24,3,3,43.29
303,6,Medium,511,24,3,4,42.59
304,6,Medium,512,4,1,1,35.3
305,6,Medium,512,4,1,2,35.86
306,6,Medium,512,4,1,3,49.3
307,6,Medium,512,4,1,4,30.81
308,6,Medium,513,7,1,1,44.98
309,6,Medium,513,7,1,2,41.71
310,6,Medium,513,7,1,3,41.1
311,6,Medium,513,7,1,4,40.97
312,6,Medium,514,6,1,1,41.1
313,6,Medium,514,6,1,2,41.56
314,6,Medium,514,6,1,3,36.39
315,6,Medium,514,6,1,4,39.67
316,6,Medium,515,8,3,1,34.46
317,6,Medium,515,8,3,2,40.13
318,6,Medium,515,8,3,3,32.18
319,6,Medium,515,8,3,4,43.73
320,7,Medium,601,7,3,1,49.01
321,7,Medium,601,7,3,2,46.29
322,7,Medium,601,7,3,3,37.14
323,7,Medium,601,7,3,4,42.82
324,7,Medium,602,4,3,1,47.22
325,7,Medium,602,4,3,2,35.24
326,7,Medium,602,4,3,3,47.22
327,7,Medium,602,4,3,4,43.15
328,7,Medium,603,4,2,1,40.71
329,7,Medium,603,4,2,2,38.26
